Serial Number;Status;Address;Host Name;Model;Firmware;DHCP;Server;Tags;UPnP Friendly Name
ACCC8E2E3089;OK;172.16.84.228;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3089
ACCC8E2E3094;OK;172.16.84.107;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3094
ACCC8E2E3134;OK;172.16.84.10;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3134
ACCC8E2E3135;OK;172.16.84.9;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3135
ACCC8E2E3138;OK;172.16.84.39;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3138
ACCC8E2E3142;OK;172.16.84.40;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3142
ACCC8E2E3143;OK;172.16.84.37;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3143
ACCC8E2E3145;OK;172.16.84.41;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3145
ACCC8E2E3152;OK;172.16.84.110;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3152
ACCC8E2E3154;OK;172.16.84.115;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3154
ACCC8E2E3170;OK;172.16.84.238;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3170
ACCC8E2E3172;OK;172.16.84.229;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3172
ACCC8E2E3174;OK;172.16.84.8;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3174
ACCC8E2E3179;OK;172.16.84.12;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3179
ACCC8E2E3180;OK;172.16.84.43;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3180
ACCC8E2E3181;OK;172.16.84.42;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3181
ACCC8E2E3188;OK;172.16.84.78;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3188
ACCC8E2E3189;OK;172.16.84.133;;AXIS P1354;5.40.18;No;ARM4;;AXIS P1354 - ACCC8E2E3189
ACCC8E0273B3;OK;172.16.84.47;;AXIS Q6114-E;5.65.2;No;ARM4;;AXIS Q6114-E - ACCC8E0273B3
ACCC8E1888BD;Not accessible;172.16.84.139;;AXIS P1365;5.75.3.2;No;ARM4;;AXIS P1365 - ACCC8E1888BD
ACCC8E3015C1;OK;172.16.84.118;;AXIS P3224-LVE;5.75.3;No;ARM4;;AXIS P3224-LVE - ACCC8E3015C1
ACCC8E18892B;OK;172.16.84.48;;AXIS P1365;5.75.3;No;ARM4;;AXIS P1365 - ACCC8E18892B
ACCC8E027352;OK;172.16.84.44;;AXIS Q6114-E;5.65.2;No;ARM4;;AXIS Q6114-E - ACCC8E027352
ACCC8E027368;OK;172.16.84.15;;AXIS Q6114-E;5.65.2;No;ARM4;;AXIS Q6114-E - ACCC8E027368
ACCC8E188935;OK;172.16.84.136;;AXIS P1365;5.75.3;No;ARM4;;AXIS P1365 - ACCC8E188935
ACCC8E301541;OK;172.16.84.79;;AXIS P3224-LV;5.75.3;No;ARM4;;AXIS P3224-LV - ACCC8E301541
